Evictions_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
12,0.133870084,0.091450963,0.192359907,Had Child,Dependent_Status
17,0.136937906,0.095759622,0.192394166,Had Child,Dependent_Status
22,0.147794015,0.100585435,0.213705157,Had Child,Dependent_Status
27,0.149862487,0.104520621,0.21097992,Had Child,Dependent_Status
32,0.146630088,0.099130509,0.212823711,Had Child,Dependent_Status
37,0.143293225,0.094750269,0.221092843,Had Child,Dependent_Status
42,0.161920069,0.114504367,0.224871129,Had Child,Dependent_Status
47,0.173023436,0.11692361,0.249777323,Had Child,Dependent_Status
52,0.113525772,0.080355927,0.158168871,Had Child,Dependent_Status
62,0.129246661,0.089266193,0.183480898,Had Child,Dependent_Status
72,0.173034168,0.119225626,0.244781444,Had Child,Dependent_Status
NA,0.154769855,0.102474389,0.229059136,Had Child,Dependent_Status
2,0.114928484,0.077707615,0.166669915,Asian,Race
7,0.107165256,0.074172217,0.152897889,Asian,Race
12,0.104364972,0.069377343,0.15417737,Asian,Race
17,0.108821429,0.076997407,0.152128263,Asian,Race
22,0.122384857,0.086531665,0.170516252,Asian,Race
27,0.121332174,0.079145738,0.183332232,Asian,Race
32,0.121842144,0.083045754,0.175871938,Asian,Race
37,0.143168498,0.099090763,0.202450616,Asian,Race
42,0.128483503,0.090363673,0.179601497,Asian,Race
47,0.13725147,0.094606117,0.196235338,Asian,Race
52,0.116501571,0.078570403,0.170613901,Asian,Race
62,0.088689941,0.056836322,0.136086311,Asian,Race
67,0.124322282,0.082534234,0.183160966,Asian,Race
NA,0.115596042,0.078078548,0.168490624,Asian,Race
2,0.119489931,0.08733451,0.162792248,Black,Race
7,0.121416671,0.090954115,0.161725504,Black,Race
12,0.122994961,0.095155374,0.15865866,Black,Race
17,0.118635332,0.092454125,0.152076275,Black,Race
22,0.129253925,0.101632826,0.164023485,Black,Race
27,0.128513074,0.101369044,0.162690279,Black,Race
32,0.133491709,0.104194469,0.171876326,Black,Race
37,0.129056895,0.100449406,0.165967935,Black,Race
42,0.137294633,0.106927043,0.175556398,Black,Race
47,0.136639162,0.10423514,0.181112382,Black,Race
52,0.123816122,0.095696039,0.159184323,Black,Race
57,0.09745902,0.07334255,0.128543079,Black,Race
62,0.117148387,0.088633211,0.153404293,Black,Race
72,0.15666209,0.107846217,0.223117824,Black,Race
87,0.147786975,0.095184281,0.222959541,Black,Race
NA,0.13187349,0.096149781,0.179169556,Black,Race
2,0.10499202,0.075844407,0.144185575,Hispanic,Race
7,0.10564807,0.077408488,0.143207983,Hispanic,Race
12,0.096025867,0.06858903,0.134315818,Hispanic,Race
17,0.098781219,0.072709478,0.133365945,Hispanic,Race
22,0.106839314,0.07914362,0.143401414,Hispanic,Race
27,0.105994343,0.077489323,0.143954034,Hispanic,Race
