Total_Permits_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
185,0.103740319,0.076696815,0.138969874,No,Disability_Status
192,0.10022262,0.07015298,0.142306652,No,Disability_Status
199,0.083624595,0.06050379,0.114992805,No,Disability_Status
206,0.083216704,0.058318262,0.118422994,No,Disability_Status
213,0.097329922,0.07011928,0.134209847,No,Disability_Status
220,0.099518963,0.072988255,0.135086306,No,Disability_Status
227,0.097916598,0.069418699,0.137391586,No,Disability_Status
234,0.100454834,0.072074467,0.138534672,No,Disability_Status
241,0.122609459,0.09014578,0.164764101,No,Disability_Status
248,0.099881667,0.073085697,0.135313563,No,Disability_Status
255,0.105403744,0.074935929,0.14670635,No,Disability_Status
262,0.114280194,0.083989343,0.153424528,No,Disability_Status
269,0.092178234,0.066436952,0.126564177,No,Disability_Status
276,0.101440813,0.072656392,0.140074051,No,Disability_Status
283,0.088194807,0.061087111,0.126264481,No,Disability_Status
290,0.086786107,0.06262046,0.11905649,No,Disability_Status
297,0.07139171,0.051099636,0.098919225,No,Disability_Status
304,0.075822022,0.05102314,0.111443814,No,Disability_Status
311,0.092541056,0.065314814,0.129304913,No,Disability_Status
318,0.07797141,0.054077305,0.111444394,No,Disability_Status
325,0.096241718,0.06548227,0.140252679,No,Disability_Status
332,0.092807592,0.062465537,0.13627286,No,Disability_Status
339,0.087006186,0.063006357,0.118854381,No,Disability_Status
346,0.1089144,0.076752416,0.15214409,No,Disability_Status
353,0.109447337,0.065803266,0.176245931,No,Disability_Status
360,0.159373406,0.111650028,0.222660552,No,Disability_Status
367,0.08014733,0.053540505,0.118708574,No,Disability_Status
374,0.080359084,0.049485621,0.12818464,No,Disability_Status
381,0.114176363,0.078798083,0.162484485,No,Disability_Status
388,0.099059991,0.068737713,0.140872816,No,Disability_Status
395,0.094461151,0.066982509,0.131950251,No,Disability_Status
402,0.078412219,0.05375981,0.112945775,No,Disability_Status
409,0.1055681,0.071066324,0.153761694,No,Disability_Status
416,0.100752445,0.068523025,0.145770594,No,Disability_Status
423,0.085336915,0.057783606,0.124097551,No,Disability_Status
430,0.095663832,0.06674673,0.135362905,No,Disability_Status
437,0.089034406,0.06523995,0.120221657,No,Disability_Status
444,0.074874332,0.048697223,0.113649233,No,Disability_Status
451,0.100941358,0.062980437,0.158666335,No,Disability_Status
458,0.078288538,0.049675359,0.121062326,No,Disability_Status
465,0.122686849,0.08357016,0.176432851,No,Disability_Status
472,0.057600476,0.03595058,0.091841461,No,Disability_Status
479,0.075814127,0.044520828,0.126905082,No,Disability_Status
486,0.069863529,0.044111455,0.108832232,No,Disability_Status
493,0.081032133,0.051298239,0.12579278,No,Disability_Status
500,0.085484516,0.051700674,0.138440631,No,Disability_Status
507,0.102294391,0.069139962,0.148805747,No,Disability_Status
514,0.075845882,0.03890404,0.148640601,No,Disability_Status
521,0.094399158,0.062030139,0.141319015,No,Disability_Status
528,0.069257882,0.044661959,0.106112467,No,Disability_Status
535,0.071624503,0.029594472,0.164448291,No,Disability_Status
