Des_Age,PredictedProb,LL,UL,Grouping_Var,Grouping
84,0.054253917,0.039017506,0.075036599,No,Disability_Status
85,0.054092521,0.038764863,0.075274992,No,Disability_Status
86,0.041421088,0.02731759,0.062870601,No,Disability_Status
87,0.052630444,0.035978841,0.076400709,No,Disability_Status
88,0.039860746,0.027766604,0.056905618,No,Disability_Status
89,0.052076108,0.037483649,0.071938197,No,Disability_Status
90,0.047473164,0.032821825,0.068279483,No,Disability_Status
91,0.049011329,0.034439976,0.069429221,No,Disability_Status
92,0.042198421,0.028869257,0.061335058,No,Disability_Status
93,0.046623699,0.033482818,0.064577348,No,Disability_Status
94,0.031046007,0.019115244,0.050043431,No,Disability_Status
16,0.149103141,0.104527689,0.210166379,Female,Gender
17,0.162092004,0.119836297,0.215451025,Female,Gender
18,0.159308691,0.121558349,0.206846056,Female,Gender
19,0.161416795,0.120775711,0.215130131,Female,Gender
20,0.165005728,0.12539902,0.215468279,Female,Gender
21,0.16446831,0.126265816,0.212603099,Female,Gender
22,0.166793751,0.126676714,0.217644001,Female,Gender
23,0.167311188,0.127259022,0.218468478,Female,Gender
24,0.158095955,0.120328484,0.206373714,Female,Gender
25,0.155917066,0.120973604,0.200435103,Female,Gender
26,0.156272983,0.118642368,0.204653562,Female,Gender
27,0.147344899,0.111781044,0.193880643,Female,Gender
28,0.149616037,0.114639517,0.194324774,Female,Gender
29,0.149086427,0.113275338,0.195376304,Female,Gender
30,0.145902603,0.10965422,0.193579293,Female,Gender
31,0.139973133,0.106240323,0.183018826,Female,Gender
32,0.139889983,0.106457261,0.182843232,Female,Gender
33,0.135352868,0.102623717,0.177540458,Female,Gender
34,0.133503843,0.099925377,0.177129059,Female,Gender
35,0.127511694,0.095622501,0.16935441,Female,Gender
36,0.121761466,0.092245055,0.159992589,Female,Gender
37,0.129201979,0.096004524,0.173008441,Female,Gender
38,0.125311266,0.093712343,0.167182705,Female,Gender
39,0.125121481,0.092130425,0.168799555,Female,Gender
40,0.120199516,0.089999864,0.159685518,Female,Gender
41,0.114657765,0.084812457,0.154598176,Female,Gender
42,0.115887048,0.086798605,0.153962973,Female,Gender
43,0.109389826,0.081092298,0.147259629,Female,Gender
44,0.106427041,0.078434338,0.144810464,Female,Gender
45,0.110113332,0.081562486,0.148214373,Female,Gender
46,0.10761816,0.080614867,0.14321465,Female,Gender
47,0.105803715,0.078880851,0.141751915,Female,Gender
48,0.100203793,0.076182639,0.13181285,Female,Gender
49,0.098040766,0.073250241,0.131388313,Female,Gender
50,0.099670638,0.074858236,0.13304626,Female,Gender
51,0.095035125,0.069792035,0.129851501,Female,Gender
52,0.098537477,0.072395624,0.134076454,Female,Gender
53,0.093570043,0.068979359,0.127415101,Female,Gender
54,0.092236072,0.067939801,0.125075114,Female,Gender
55,0.084768229,0.062448105,0.115397877,Female,Gender
56,0.086866756,0.06289908,0.120148508,Female,Gender
57,0.084670094,0.061849563,0.116292992,Female,Gender
58,0.087483518,0.063338181,0.121222513,Female,Gender
59,0.085845706,0.061878308,0.119810141,Female,Gender
60,0.08359459,0.060508029,0.116089004,Female,Gender
61,0.0795104,0.05877676,0.107941533,Female,Gender
62,0.081021628,0.060073545,0.109646406,Female,Gender
63,0.08007874,0.058282322,0.110222753,Female,Gender
64,0.078576451,0.058036239,0.106313003,Female,Gender
65,0.079770838,0.058045984,0.109649689,Female,Gender
66,0.076205074,0.055827106,0.104746737,Female,Gender
67,0.071526676,0.05295648,0.096570554,Female,Gender
68,0.067455175,0.050186626,0.090657825,Female,Gender
69,0.070878508,0.0514908,0.098131134,Female,Gender
70,0.066003437,0.048165085,0.09053797,Female,Gender
71,0.067772043,0.047347035,0.097664487,Female,Gender
72,0.066584992,0.048226039,0.092081824,Female,Gender
73,0.065391474,0.047079269,0.09112166,Female,Gender
74,0.069138138,0.049525972,0.096745323,Female,Gender
75,0.060066971,0.043985784,0.082002496,Female,Gender
76,0.058576679,0.043014367,0.079968617,Female,Gender
77,0.060253837,0.043808011,0.082793694,Female,Gender
78,0.053792614,0.039590781,0.07309433,Female,Gender
79,0.046216719,0.033391374,0.063881404,Female,Gender
80,0.052560885,0.037374476,0.073613584,Female,Gender
81,0.046771771,0.032315081,0.068068723,Female,Gender
82,0.04751114,0.031912261,0.070883108,Female,Gender
83,0.04408588,0.028289041,0.068666073,Female,Gender
84,0.042172403,0.029258473,0.060683132,Female,Gender
