Income_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
-6039,0.132598619,0.093410799,0.185529657,Yes,High_School_Grad
-3539,0.1282011,0.091426359,0.178791364,Yes,High_School_Grad
-1039,0.110065009,0.079027992,0.151770177,Yes,High_School_Grad
1461,0.119142738,0.08381923,0.168119956,Yes,High_School_Grad
3961,0.109161985,0.076819617,0.153334617,Yes,High_School_Grad
6461,0.115951508,0.082497986,0.161000982,Yes,High_School_Grad
8961,0.113315456,0.08226099,0.155583699,Yes,High_School_Grad
11461,0.11835883,0.086181189,0.161064412,Yes,High_School_Grad
13961,0.112037522,0.081779221,0.152398962,Yes,High_School_Grad
16461,0.126760569,0.091432009,0.173764172,Yes,High_School_Grad
18961,0.12259097,0.087628322,0.170577357,Yes,High_School_Grad
21461,0.115780742,0.082613148,0.159871808,Yes,High_School_Grad
23961,0.114332687,0.082266225,0.157124158,Yes,High_School_Grad
26461,0.131121927,0.096505068,0.176157186,Yes,High_School_Grad
28961,0.124034245,0.090094119,0.169748911,Yes,High_School_Grad
31461,0.131937494,0.09412364,0.182079193,Yes,High_School_Grad
33961,0.120827567,0.086086488,0.167781667,Yes,High_School_Grad
36461,0.122713722,0.084629958,0.174352522,Yes,High_School_Grad
38961,0.130115101,0.095322905,0.176419526,Yes,High_School_Grad
41461,0.107724874,0.077015675,0.14974593,Yes,High_School_Grad
43961,0.120243122,0.084425309,0.169426248,Yes,High_School_Grad
46461,0.158836396,0.099601643,0.243223184,Yes,High_School_Grad
48961,0.170062034,0.11717763,0.241084151,Yes,High_School_Grad
51461,0.151973607,0.106720972,0.213631963,Yes,High_School_Grad
53961,0.13957567,0.08677284,0.216961268,Yes,High_School_Grad
56461,0.11726952,0.082141487,0.165073364,Yes,High_School_Grad
61461,0.098716425,0.0670343,0.143072132,Yes,High_School_Grad
76461,0.098159941,0.058011233,0.161335961,Yes,High_School_Grad
-23539,0.107697256,0.074988601,0.154407427,None,None
-21039,0.123285613,0.085881168,0.176719583,None,None
-18539,0.122705203,0.084946143,0.177308368,None,None
-16039,0.1216252,0.087160373,0.169564651,None,None
-13539,0.126178113,0.088824418,0.182221885,None,None
-11039,0.125895251,0.09137188,0.173482569,None,None
-8539,0.12310329,0.089207659,0.169715184,None,None
-6039,0.128647482,0.093135503,0.177215104,None,None
-3539,0.124875653,0.091213691,0.171336738,None,None
-1039,0.11282919,0.082146924,0.154282783,None,None
1461,0.113555861,0.084732761,0.152228336,None,None
3961,0.110956922,0.081420706,0.150451597,None,None
6461,0.112148345,0.082390865,0.152619956,None,None
8961,0.114291868,0.084841023,0.153285504,None,None
11461,0.109549933,0.082382097,0.145872293,None,None
13961,0.112320949,0.084532244,0.149316174,None,None
16461,0.109017115,0.081667257,0.145741805,None,None
18961,0.114706446,0.085426948,0.153518981,None,None
21461,0.110776838,0.082493034,0.149303349,None,None
23961,0.111103286,0.083696243,0.146967469,None,None
26461,0.109495244,0.083578586,0.1431554,None,None
28961,0.110017688,0.082850428,0.146051413,None,None
31461,0.113289613,0.085245081,0.150234872,None,None
33961,0.113744458,0.086736024,0.148935122,None,None
36461,0.116088015,0.087984063,0.152778821,None,None
38961,0.118878293,0.089713177,0.158398784,None,None
41461,0.115315919,0.087538325,0.151303824,None,None
43961,0.113349523,0.085050407,0.15040215,None,None
46461,0.120284628,0.089868431,0.159959925,None,None
48961,0.113197791,0.084594021,0.150407964,None,None
51461,0.116896204,0.085948986,0.158551694,None,None
53961,0.112184319,0.081516113,0.153648072,None,None
56461,0.108827215,0.081457378,0.144283498,None,None
58961,0.105096383,0.071794039,0.152417459,None,None
61461,0.096033443,0.06721068,0.136222185,None,None
63961,0.115738075,0.085553216,0.155506716,None,None
66461,0.112166953,0.079640496,0.156494073,None,None
68961,0.117125679,0.078432601,0.172087766,None,None
71461,0.130013206,0.092609987,0.17874686,None,None
73961,0.155224386,0.108359233,0.220253234,None,None
76461,0.126656608,0.085063373,0.185959421,None,None
78961,0.178179654,0.123161796,0.253108922,None,None
81461,0.144030171,0.077586907,0.248320651,None,None
86461,0.123193961,0.079249631,0.190870647,None,None
88961,0.132869579,0.090035691,0.192101675,None,None
91461,0.066825236,0.041069054,0.106842334,None,None
93961,0.156621634,0.109373776,0.219255223,None,None
96461,0.094152351,0.063311962,0.138022768,None,None
98961,0.14733315,0.103606525,0.20510017,None,None
101461,0.151089435,0.102434369,0.217261014,None,None
NA,0.099755913,0.056603138,0.169883014,None,None
-23539,0.106738056,0.074761199,0.152188362,No Change,Relationship_Status
-21039,0.123285613,0.085881168,0.176719583,No Change,Relationship_Status
-18539,0.122264579,0.085307638,0.175120458,No Change,Relationship_Status
-16039,0.121481359,0.08727173,0.168912143,No Change,Relationship_Status
-13539,0.125203261,0.088553924,0.180173945,No Change,Relationship_Status
-11039,0.123963109,0.090499692,0.170101258,No Change,Relationship_Status
-8539,0.121356134,0.088387214,0.16673506,No Change,Relationship_Status
-6039,0.128471565,0.09325143,0.176469205,No Change,Relationship_Status
-3539,0.124694438,0.091516857,0.170218977,No Change,Relationship_Status
-1039,0.112393669,0.082069407,0.153235372,No Change,Relationship_Status
1461,0.112799281,0.084625063,0.150382926,No Change,Relationship_Status
3961,0.110092937,0.081259945,0.148405652,No Change,Relationship_Status
6461,0.110038064,0.081696376,0.148378293,No Change,Relationship_Status
8961,0.112867126,0.084473772,0.150146573,No Change,Relationship_Status
11461,0.108775937,0.082197303,0.14414141,No Change,Relationship_Status
13961,0.112187931,0.084684415,0.148630819,No Change,Relationship_Status
16461,0.107023367,0.081293729,0.141069287,No Change,Relationship_Status
18961,0.112455944,0.084839839,0.148628048,No Change,Relationship_Status
21461,0.109272422,0.08202237,0.146247585,No Change,Relationship_Status
23961,0.109114957,0.083081315,0.142826262,No Change,Relationship_Status
26461,0.108450557,0.083292739,0.140907049,No Change,Relationship_Status
28961,0.108203412,0.082490253,0.141833132,No Change,Relationship_Status
31461,0.111889094,0.084803045,0.147406859,No Change,Relationship_Status
33961,0.113352066,0.086828764,0.147680857,No Change,Relationship_Status
36461,0.113878627,0.087115489,0.14863751,No Change,Relationship_Status
38961,0.11553785,0.088432721,0.152066972,No Change,Relationship_Status
41461,0.113087036,0.086629067,0.147179956,No Change,Relationship_Status
43961,0.111585453,0.084361626,0.147057178,No Change,Relationship_Status
46461,0.114553776,0.087965819,0.148506207,No Change,Relationship_Status
48961,0.112392791,0.084475026,0.148425077,No Change,Relationship_Status
51461,0.115327949,0.086167524,0.153824626,No Change,Relationship_Status
53961,0.112184319,0.081516113,0.153648072,No Change,Relationship_Status
56461,0.108827215,0.081457378,0.144283498,No Change,Relationship_Status
58961,0.090684498,0.064128844,0.129353263,No Change,Relationship_Status
61461,0.096033443,0.06721068,0.136222185,No Change,Relationship_Status
63961,0.115738075,0.085553216,0.155506716,No Change,Relationship_Status
66461,0.112166953,0.079640496,0.156494073,No Change,Relationship_Status
68961,0.107375489,0.075595168,0.150664043,No Change,Relationship_Status
71461,0.130013206,0.092609987,0.17874686,No Change,Relationship_Status
73961,0.157809164,0.115894186,0.21115816,No Change,Relationship_Status
76461,0.126656608,0.085063373,0.185959421,No Change,Relationship_Status
78961,0.166630966,0.126109147,0.216958235,No Change,Relationship_Status
81461,0.084970902,0.050508078,0.139493848,No Change,Relationship_Status
86461,0.118022748,0.085583557,0.161405087,No Change,Relationship_Status
88961,0.132869579,0.090035691,0.192101675,No Change,Relationship_Status
91461,0.066825236,0.041069054,0.106842334,No Change,Relationship_Status
93961,0.156621634,0.109373776,0.219255223,No Change,Relationship_Status
96461,0.094152351,0.063311962,0.138022768,No Change,Relationship_Status
98961,0.14733315,0.103606525,0.20510017,No Change,Relationship_Status
101461,0.151089435,0.102434369,0.217261014,No Change,Relationship_Status
NA,0.099755913,0.056603138,0.169883014,No Change,Relationship_Status
-18539,0.151616658,0.058325652,0.34021484,Got Divorced,Relationship_Status
-11039,0.269839811,0.156349922,0.425390205,Got Divorced,Relationship_Status
-8539,0.263749336,0.155253503,0.409615162,Got Divorced,Relationship_Status
-3539,0.152113673,0.082859185,0.262673584,Got Divorced,Relationship_Status
1461,0.179499032,0.100523959,0.299251816,Got Divorced,Relationship_Status
3961,0.194355651,0.11042759,0.319232078,Got Divorced,Relationship_Status
6461,0.306067156,0.182910923,0.46449515,Got Divorced,Relationship_Status
8961,0.236645678,0.132112454,0.389507916,Got Divorced,Relationship_Status
11461,0.17982879,0.099161393,0.303036476,Got Divorced,Relationship_Status
13961,0.160360033,0.090228098,0.268892201,Got Divorced,Relationship_Status
16461,0.16673387,0.08964509,0.287178077,Got Divorced,Relationship_Status
18961,0.26035158,0.152818379,0.406667124,Got Divorced,Relationship_Status
21461,0.228954865,0.131355616,0.363979541,Got Divorced,Relationship_Status
23961,0.219242406,0.124129319,0.35633116,Got Divorced,Relationship_Status
26461,0.223683119,0.128725966,0.358152817,Got Divorced,Relationship_Status
28961,0.160702057,0.090866739,0.268029764,Got Divorced,Relationship_Status
31461,0.335373607,0.185994824,0.527045591,Got Divorced,Relationship_Status
33961,0.114966041,0.063002849,0.200611291,Got Divorced,Relationship_Status
36461,0.267204639,0.154701415,0.420684802,Got Divorced,Relationship_Status
38961,0.218273145,0.128093494,0.345937485,Got Divorced,Relationship_Status
