Total_Crimes_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
302,0.027741526,0.014797705,0.05141665,Female,Gender
332,0.002924231,0.000751824,0.011302836,Female,Gender
337,0.025321665,0.013208961,0.0481372,Female,Gender
347,0.302657865,0.114713543,0.592455801,Female,Gender
357,0.181360697,0.083774033,0.349287735,Female,Gender
397,0.087851291,0.033123685,0.213052391,Female,Gender
2,0.14127719,0.102417933,0.192983042,Male,Gender
7,0.147758615,0.109319814,0.198487887,Male,Gender
12,0.140408393,0.107287912,0.183358879,Male,Gender
17,0.134628924,0.101622077,0.177429585,Male,Gender
22,0.132834291,0.098975632,0.177709175,Male,Gender
27,0.129536841,0.095867775,0.174440941,Male,Gender
32,0.126161268,0.093571099,0.170217882,Male,Gender
37,0.121441247,0.089940129,0.163993972,Male,Gender
42,0.113810168,0.08533795,0.151522089,Male,Gender
47,0.109639361,0.079806207,0.150727934,Male,Gender
52,0.119483217,0.083628574,0.167892031,Male,Gender
57,0.11696211,0.087109951,0.157344469,Male,Gender
62,0.109945981,0.078210985,0.153558493,Male,Gender
67,0.100221975,0.074821424,0.133893703,Male,Gender
72,0.103677868,0.075170376,0.142705109,Male,Gender
77,0.113800974,0.08205298,0.157115641,Male,Gender
82,0.114335843,0.083195045,0.156598844,Male,Gender
87,0.094705394,0.067708616,0.131635155,Male,Gender
92,0.104253031,0.072869936,0.149037459,Male,Gender
97,0.106394427,0.07447447,0.151230395,Male,Gender
102,0.098553065,0.071107575,0.13602859,Male,Gender
107,0.099343093,0.068824088,0.144389686,Male,Gender
112,0.07641928,0.052388864,0.111403194,Male,Gender
117,0.114351531,0.074008488,0.172272586,Male,Gender
122,0.093131704,0.064077943,0.133851562,Male,Gender
127,0.102421373,0.062437084,0.163085284,Male,Gender
132,0.081818963,0.058409759,0.113049017,Male,Gender
137,0.073075421,0.048572354,0.108971366,Male,Gender
142,0.07206429,0.045382653,0.114643774,Male,Gender
147,0.123155684,0.085787358,0.174790147,Male,Gender
152,0.037188116,0.022683666,0.060491508,Male,Gender
157,0.168629484,0.093742287,0.279283593,Male,Gender
162,0.100153573,0.062252273,0.1532135,Male,Gender
167,0.039475801,0.023198132,0.066448294,Male,Gender
172,0.070233366,0.044267434,0.109357505,Male,Gender
177,0.032694921,0.01801248,0.058889186,Male,Gender
182,0.085353346,0.055041364,0.130224287,Male,Gender
187,0.10519198,0.066847941,0.162852111,Male,Gender
197,0.034329475,0.018100273,0.064008388,Male,Gender
202,0.036341677,0.023475197,0.055856754,Male,Gender
207,0.246952275,0.100515226,0.490412649,Male,Gender
212,0.100920343,0.057991328,0.169896743,Male,Gender
222,0.008517797,0.004150512,0.017400167,Male,Gender
232,0.10273756,0.059981117,0.169427759,Male,Gender
237,0.007764974,0.003582336,0.016749057,Male,Gender
242,0.007102022,0.003104539,0.01616331,Male,Gender
247,0.008489141,0.003727665,0.019215312,Male,Gender
257,0.025328585,0.014615805,0.043546389,Male,Gender
267,0.084631774,0.045808224,0.151147119,Male,Gender
287,0.063427241,0.033231265,0.117720117,Male,Gender
302,0.035271378,0.018897095,0.064895445,Male,Gender
337,0.013413825,0.00596924,0.029864043,Male,Gender
497,0.071958134,0.026974631,0.176715473,Male,Gender
NA,0.012704713,0.004291139,0.037001689,Male,Gender
2,0.15212401,0.021202555,0.59769125,Trans,Gender
7,0.140593982,0.017724769,0.597288036,Trans,Gender
12,0.116884244,0.015735186,0.52284688,Trans,Gender
17,0.12274226,0.016436584,0.539470795,Trans,Gender
22,0.096394618,0.012662561,0.469802649,Trans,Gender
2,0.139067738,0.102210974,0.188771905,No,High_School_Grad
7,0.136233577,0.103171148,0.179905155,No,High_School_Grad
12,0.128996992,0.10003984,0.166486568,No,High_School_Grad
17,0.123498227,0.094647889,0.161809735,No,High_School_Grad
22,0.120858207,0.091714594,0.160398875,No,High_School_Grad
27,0.11994407,0.091136339,0.157617944,No,High_School_Grad
32,0.117609101,0.088939004,0.155559699,No,High_School_Grad
37,0.113053805,0.085626732,0.149465164,No,High_School_Grad
42,0.107690511,0.081360015,0.142533447,No,High_School_Grad
47,0.106456687,0.079702357,0.142559382,No,High_School_Grad
52,0.110549455,0.081999237,0.148279004,No,High_School_Grad
57,0.108547731,0.081201033,0.145424717,No,High_School_Grad
62,0.098004001,0.072270875,0.132790258,No,High_School_Grad
67,0.09617521,0.070913378,0.130441233,No,High_School_Grad
72,0.096167255,0.070773741,0.130911626,No,High_School_Grad
77,0.101772003,0.075917856,0.136634721,No,High_School_Grad
82,0.099910992,0.072788533,0.136579061,No,High_School_Grad
87,0.086315988,0.06291011,0.118445132,No,High_School_Grad
92,0.089992597,0.066240899,0.122479001,No,High_School_Grad
97,0.088563114,0.063564377,0.123236814,No,High_School_Grad
102,0.099798144,0.074085715,0.13386041,No,High_School_Grad
107,0.097649543,0.070197867,0.136014562,No,High_School_Grad
112,0.086737633,0.060726749,0.123203127,No,High_School_Grad
117,0.091688783,0.064269783,0.129897475,No,High_School_Grad
122,0.09295186,0.065433446,0.131254198,No,High_School_Grad
127,0.07765634,0.050112627,0.119180346,No,High_School_Grad
132,0.07067399,0.049242541,0.100522182,No,High_School_Grad
137,0.087566391,0.061449748,0.123897824,No,High_School_Grad
142,0.077903068,0.049157662,0.122940326,No,High_School_Grad
147,0.137670773,0.097876688,0.190206422,No,High_School_Grad
152,0.097166859,0.066737375,0.137667178,No,High_School_Grad
157,0.124475032,0.07740361,0.191250397,No,High_School_Grad
162,0.078750967,0.050658925,0.118320031,No,High_School_Grad
167,0.044002958,0.027312611,0.071541314,No,High_School_Grad
172,0.092229834,0.05668002,0.146682705,No,High_School_Grad
177,0.02547308,0.014076334,0.046084866,No,High_School_Grad
182,0.098060285,0.066793826,0.141739722,No,High_School_Grad
187,0.172262463,0.09581492,0.277264921,No,High_School_Grad
192,0.118760453,0.065171629,0.207089422,No,High_School_Grad
197,0.118176277,0.078416236,0.17280641,No,High_School_Grad
202,0.144891203,0.048683643,0.323379316,No,High_School_Grad
207,0.130300346,0.053679432,0.2587239,No,High_School_Grad
212,0.070916721,0.042498748,0.115657518,No,High_School_Grad
222,0.037361109,0.020705212,0.066753542,No,High_School_Grad
227,0.037740798,0.019585145,0.07162718,No,High_School_Grad
232,0.081942598,0.049573117,0.131676176,No,High_School_Grad
237,0.020045278,0.010861855,0.036852865,No,High_School_Grad
242,0.007102022,0.003104539,0.01616331,No,High_School_Grad
247,0.034931444,0.018831485,0.063860544,No,High_School_Grad
257,0.013141218,0.00644896,0.027481118,No,High_School_Grad
267,0.032956346,0.017344602,0.061179167,No,High_School_Grad
292,0.025353695,0.011573694,0.054633733,No,High_School_Grad
302,0.031506452,0.0168474,0.058156048,No,High_School_Grad
332,0.002924231,0.000751824,0.011302836,No,High_School_Grad
337,0.022344705,0.011399031,0.043568911,No,High_School_Grad
347,0.302657865,0.114713543,0.592455801,No,High_School_Grad
357,0.181360697,0.083774033,0.349287735,No,High_School_Grad
497,0.054949176,0.020096077,0.141514996,No,High_School_Grad
NA,0.012704713,0.004291139,0.037001689,No,High_School_Grad
2,0.139249251,0.098798818,0.192868983,Yes,High_School_Grad
7,0.138141642,0.100523986,0.187609502,Yes,High_School_Grad
12,0.14024963,0.10296325,0.189410271,Yes,High_School_Grad
17,0.139404888,0.101323106,0.189855503,Yes,High_School_Grad
22,0.151462212,0.108950327,0.207183134,Yes,High_School_Grad
27,0.129331634,0.094062195,0.175460143,Yes,High_School_Grad
32,0.126336888,0.091794836,0.172414818,Yes,High_School_Grad
37,0.124498367,0.089811334,0.171610443,Yes,High_School_Grad
42,0.112507709,0.082987893,0.151660995,Yes,High_School_Grad
47,0.132725062,0.09496985,0.184372745,Yes,High_School_Grad
52,0.111029887,0.078939721,0.15431944,Yes,High_School_Grad
57,0.111904789,0.080010874,0.155361422,Yes,High_School_Grad
62,0.114942402,0.080413406,0.162319661,Yes,High_School_Grad
67,0.100944206,0.071482483,0.141411726,Yes,High_School_Grad
72,0.112440456,0.081690398,0.152965649,Yes,High_School_Grad
77,0.103487399,0.071780393,0.146201999,Yes,High_School_Grad
82,0.10637537,0.073564514,0.152805493,Yes,High_School_Grad
87,0.095557993,0.063965994,0.142133674,Yes,High_School_Grad
92,0.105630419,0.070454954,0.155932335,Yes,High_School_Grad
97,0.097460877,0.064634835,0.144800107,Yes,High_School_Grad
102,0.103309405,0.071658078,0.14681876,Yes,High_School_Grad
107,0.089838143,0.064237754,0.12425138,Yes,High_School_Grad
112,0.068794306,0.044057111,0.106216869,Yes,High_School_Grad
117,0.094084887,0.056441264,0.15078593,Yes,High_School_Grad
122,0.080502234,0.054707586,0.117376968,Yes,High_School_Grad
127,0.07143191,0.046846002,0.107996616,Yes,High_School_Grad
132,0.076407332,0.04622145,0.123207301,Yes,High_School_Grad
137,0.115155712,0.06899993,0.18045757,Yes,High_School_Grad
142,0.061384171,0.042332051,0.088274135,Yes,High_School_Grad
147,0.142494936,0.091188399,0.214135664,Yes,High_School_Grad
152,0.05265469,0.034028001,0.080626463,Yes,High_School_Grad
157,0.131042224,0.073001729,0.223681966,Yes,High_School_Grad
162,0.045105134,0.027649845,0.073101219,Yes,High_School_Grad
172,0.1572204,0.0982965,0.239031011,Yes,High_School_Grad
177,0.037105431,0.019785942,0.068525564,Yes,High_School_Grad
182,0.078999877,0.049165133,0.124466569,Yes,High_School_Grad
187,0.095843464,0.062283465,0.144953465,Yes,High_School_Grad
197,0.047793665,0.025149453,0.088965727,Yes,High_School_Grad
202,0.03269692,0.016192298,0.064914485,Yes,High_School_Grad
232,0.090409994,0.051110345,0.153212748,Yes,High_School_Grad
247,0.105989253,0.05957053,0.181594089,Yes,High_School_Grad
252,0.117405855,0.063915103,0.205820205,Yes,High_School_Grad
267,0.086660539,0.047332432,0.153396911,Yes,High_School_Grad
287,0.07237375,0.037663068,0.134595347,Yes,High_School_Grad
292,0.013020655,0.00579063,0.029014448,Yes,High_School_Grad
397,0.087851291,0.033123685,0.213052391,Yes,High_School_Grad
497,0.122985009,0.047610292,0.282316905,Yes,High_School_Grad
2,0.139099319,0.101617305,0.189484741,None,None
7,0.136465639,0.102849196,0.18084217,None,None
12,0.130655275,0.100470659,0.169864798,None,None
17,0.125521442,0.09549693,0.16537696,None,None
22,0.125079449,0.094091937,0.166851876,None,None
27,0.121407827,0.091592553,0.160399991,None,None
32,0.119019112,0.089400376,0.158282715,None,None
37,0.114953693,0.086321409,0.153141455,None,None
42,0.108545361,0.081648895,0.144153203,None,None
47,0.110716424,0.082178166,0.149339928,None,None
52,0.110613918,0.08158872,0.149089493,None,None
57,0.109102012,0.081004527,0.147065357,None,None
62,0.100494942,0.073468306,0.137132817,None,None
67,0.096983181,0.071009797,0.13229987,None,None
72,0.099096431,0.072738739,0.13488135,None,None
77,0.102023303,0.075311731,0.138036297,None,None
82,0.101468674,0.072975516,0.140489045,None,None
87,0.087752245,0.0630742,0.122126459,None,None
92,0.092415358,0.066893781,0.127661912,None,None
97,0.090059934,0.063744454,0.126864284,None,None
102,0.100401088,0.073668848,0.136085581,None,None
107,0.096555947,0.069363451,0.134367717,None,None
112,0.08370107,0.057905733,0.120328529,None,None
117,0.091994669,0.063270398,0.132564087,None,None
122,0.090688292,0.06348329,0.128731066,None,None
127,0.076191768,0.04934401,0.11654888,None,None
132,0.071493038,0.048810957,0.103762913,None,None
137,0.09052239,0.062258696,0.129957797,None,None
142,0.074363305,0.047695031,0.115511857,None,None
147,0.138986454,0.096052609,0.196732579,None,None
152,0.089748164,0.061285812,0.128160392,None,None
157,0.125247643,0.076885741,0.195065876,None,None
162,0.0720218,0.046057109,0.109276269,None,None
167,0.044002958,0.027312611,0.071541314,None,None
172,0.101092184,0.062354994,0.159275656,None,None
177,0.027134844,0.014891992,0.04929068,None,None
182,0.085353346,0.055041364,0.130224287,None,None
187,0.153157713,0.087432056,0.244187057,None,None
192,0.118760453,0.065171629,0.207089422,None,None
197,0.094715406,0.060660641,0.144859516,None,None
202,0.107493108,0.037853194,0.237224372,None,None
207,0.130300346,0.053679432,0.2587239,None,None
212,0.070916721,0.042498748,0.115657518,None,None
222,0.037361109,0.020705212,0.066753542,None,None
227,0.037740798,0.019585145,0.07162718,None,None
232,0.086176296,0.050341731,0.142444462,None,None
237,0.020045278,0.010861855,0.036852865,None,None
242,0.007102022,0.003104539,0.01616331,None,None
247,0.05861738,0.032411167,0.103105059,None,None
252,0.117405855,0.063915103,0.205820205,None,None
257,0.013141218,0.00644896,0.027481118,None,None
267,0.054438023,0.029339734,0.098066265,None,None
287,0.07237375,0.037663068,0.134595347,None,None
292,0.019187175,0.008682162,0.041824091,None,None
302,0.031506452,0.0168474,0.058156048,None,None
332,0.002924231,0.000751824,0.011302836,None,None
337,0.022344705,0.011399031,0.043568911,None,None
347,0.302657865,0.114713543,0.592455801,None,None
357,0.181360697,0.083774033,0.349287735,None,None
397,0.087851291,0.033123685,0.213052391,None,None
497,0.071958134,0.026974631,0.176715473,None,None
NA,0.012704713,0.004291139,0.037001689,None,None
2,0.135713218,0.10065194,0.182490726,No Change,Relationship_Status
7,0.133616516,0.101985699,0.17506046,No Change,Relationship_Status
12,0.130244356,0.100596522,0.168525973,No Change,Relationship_Status
17,0.123826875,0.09494843,0.161973517,No Change,Relationship_Status
22,0.123035633,0.093402656,0.162809732,No Change,Relationship_Status
27,0.119804544,0.091184055,0.156935789,No Change,Relationship_Status
32,0.118717834,0.089367096,0.157552848,No Change,Relationship_Status
37,0.11342819,0.085958531,0.149747159,No Change,Relationship_Status
42,0.108208982,0.08170499,0.14309197,No Change,Relationship_Status
47,0.109432415,0.0823,0.145528804,No Change,Relationship_Status
52,0.109392703,0.0813701,0.146185146,No Change,Relationship_Status
57,0.108388566,0.081098881,0.144888448,No Change,Relationship_Status
62,0.099853067,0.073216698,0.135902513,No Change,Relationship_Status
67,0.096315526,0.070865883,0.13075283,No Change,Relationship_Status
72,0.097879451,0.072474189,0.132022374,No Change,Relationship_Status
77,0.099703494,0.074803968,0.132540143,No Change,Relationship_Status
