Income_Change_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
-45330,0.128316985,0.092556854,0.175514059,Male,Gender
-42830,0.054347371,0.035568272,0.082389574,Male,Gender
-40330,0.110943762,0.075681339,0.161238338,Male,Gender
-37830,0.119795368,0.083723005,0.170744789,Male,Gender
-35330,0.155854223,0.106195239,0.22123037,Male,Gender
-32830,0.118892942,0.084545923,0.166002627,Male,Gender
-30330,0.135516824,0.099507409,0.183609537,Male,Gender
-27830,0.131137466,0.09409617,0.182383599,Male,Gender
-25330,0.115669036,0.079365028,0.168627411,Male,Gender
-22830,0.127776895,0.092013361,0.177836196,Male,Gender
-20330,0.136842593,0.100406047,0.186608785,Male,Gender
-17830,0.14020715,0.101189849,0.192467197,Male,Gender
-15330,0.140497082,0.102147606,0.192289386,Male,Gender
-12830,0.130324193,0.097105364,0.174496883,Male,Gender
-10330,0.12351553,0.091770632,0.165662734,Male,Gender
-7830,0.129326225,0.094498672,0.175170344,Male,Gender
-5330,0.123076843,0.09220529,0.164163057,Male,Gender
-2830,0.110899819,0.082487557,0.148719976,Male,Gender
-330,0.103325081,0.076139121,0.139862072,Male,Gender
2170,0.125319757,0.092565119,0.169016441,Male,Gender
4670,0.126357093,0.09490915,0.167115518,Male,Gender
7170,0.130993852,0.099713163,0.171209703,Male,Gender
9670,0.118976945,0.086494986,0.163025988,Male,Gender
12170,0.126044051,0.095030806,0.16611049,Male,Gender
14670,0.121955098,0.089019389,0.166432232,Male,Gender
17170,0.123148615,0.088686816,0.170013452,Male,Gender
19670,0.153869211,0.110214379,0.212476136,Male,Gender
22170,0.135575113,0.096001337,0.188804652,Male,Gender
24670,0.114961512,0.084647913,0.155455735,Male,Gender
27170,0.118088584,0.084559626,0.162851873,Male,Gender
29670,0.17106039,0.104703709,0.268205261,Male,Gender
32170,0.110632348,0.076410437,0.158868982,Male,Gender
34670,0.161246604,0.107112183,0.240220248,Male,Gender
37170,0.094015193,0.06407205,0.135919633,Male,Gender
39670,0.114166246,0.079430247,0.16142902,Male,Gender
42170,0.11014044,0.082278024,0.145937702,Male,Gender
44670,0.1359698,0.094866644,0.191121448,Male,Gender
47170,0.163254754,0.109602319,0.236203825,Male,Gender
54670,0.131124289,0.086896042,0.193103103,Male,Gender
-35330,0.121312109,0.016196592,0.536559391,Trans,Gender
-22830,0.140593982,0.017724769,0.597288036,Trans,Gender
-15330,0.14842184,0.020614808,0.590697555,Trans,Gender
-10330,0.155826179,0.021790302,0.604684944,Trans,Gender
-7830,0.124172411,0.016676575,0.542382198,Trans,Gender
-330,0.116884244,0.015735186,0.52284688,Trans,Gender
4670,0.089110402,0.011521955,0.45086431,Trans,Gender
9670,0.103678834,0.013803166,0.488740987,Trans,Gender
-75330,0.077091187,0.044293443,0.131271804,No,High_School_Grad
-67830,0.090200958,0.061903671,0.12964579,No,High_School_Grad
-62830,0.109978973,0.071940731,0.164861337,No,High_School_Grad
-60330,0.120923388,0.067661952,0.206810657,No,High_School_Grad
-57830,0.073294073,0.052172696,0.10204555,No,High_School_Grad
-55330,0.124481099,0.069741088,0.21302795,No,High_School_Grad
-52830,0.16381482,0.113373434,0.229988854,No,High_School_Grad
-50330,0.085406315,0.055605522,0.130145838,No,High_School_Grad
-47830,0.108675295,0.07740779,0.150193235,No,High_School_Grad
-45330,0.129423339,0.092080577,0.180054543,No,High_School_Grad
-42830,0.112914812,0.07928201,0.159905886,No,High_School_Grad
-40330,0.141477401,0.092477893,0.211288479,No,High_School_Grad
-37830,0.10912393,0.076309077,0.155234903,No,High_School_Grad
-35330,0.125358107,0.087112433,0.185624329,No,High_School_Grad
-32830,0.121758025,0.088717733,0.166483581,No,High_School_Grad
-30330,0.125983635,0.090860697,0.173545199,No,High_School_Grad
-27830,0.125903788,0.091595453,0.172706353,No,High_School_Grad
-25330,0.111209203,0.08003048,0.154910115,No,High_School_Grad
