Rent_Groups,PredictedProb,LL,UL,Grouping_Var,Grouping
1254,0.083999688,0.062740601,0.11160447,Disabled,Disability_Status
1259,0.064528071,0.047873405,0.086466864,Disabled,Disability_Status
1269,0.138446174,0.106996711,0.177183832,Disabled,Disability_Status
1274,0.097366082,0.070090765,0.133706564,Disabled,Disability_Status
1279,0.117603925,0.091572174,0.149793643,Disabled,Disability_Status
1284,0.080774993,0.060816757,0.106714519,Disabled,Disability_Status
1289,0.083547611,0.059308736,0.117432543,Disabled,Disability_Status
1294,0.074755702,0.054761598,0.101024403,Disabled,Disability_Status
1299,0.088165499,0.062085624,0.124582443,Disabled,Disability_Status
1304,0.084034049,0.054229081,0.127989348,Disabled,Disability_Status
1309,0.079068415,0.058212013,0.106618244,Disabled,Disability_Status
1314,0.081135515,0.055484826,0.121375932,Disabled,Disability_Status
1319,0.093847155,0.053426839,0.161994546,Disabled,Disability_Status
1324,0.089828974,0.061176022,0.130043159,Disabled,Disability_Status
1329,0.087572187,0.063048382,0.120455575,Disabled,Disability_Status
1334,0.111238049,0.068421186,0.177987117,Disabled,Disability_Status
1339,0.077712507,0.054493252,0.111068034,Disabled,Disability_Status
1344,0.079456388,0.059710002,0.105127901,Disabled,Disability_Status
1349,0.077957707,0.057495448,0.105249059,Disabled,Disability_Status
1354,0.046858632,0.032223349,0.067924202,Disabled,Disability_Status
1359,0.085026593,0.061976691,0.116164248,Disabled,Disability_Status
1369,0.099727123,0.064009387,0.152474724,Disabled,Disability_Status
1374,0.064088818,0.047155744,0.086522507,Disabled,Disability_Status
1379,0.109609707,0.078797052,0.150260828,Disabled,Disability_Status
1384,0.056477466,0.040492385,0.07830348,Disabled,Disability_Status
1389,0.083042381,0.06049225,0.112956791,Disabled,Disability_Status
1404,0.081793649,0.06265634,0.106114405,Disabled,Disability_Status
1409,0.045574447,0.026223072,0.079515524,Disabled,Disability_Status
1414,0.073677332,0.054225672,0.099373481,Disabled,Disability_Status
1419,0.128398296,0.100388076,0.162809502,Disabled,Disability_Status
1424,0.067491341,0.039053675,0.113917644,Disabled,Disability_Status
1429,0.105438927,0.070493435,0.157497535,Disabled,Disability_Status
1434,0.062431059,0.046737803,0.082966381,Disabled,Disability_Status
